cuestionario,factor,zona,campo,genero,filtro_a,p1edad,edadr,filtro_b,filtro_c,voluntad,p2,p2_1,p2_1_1,p2_2,p2_2_1,p3,p4,p5,p6,p7,p7_1,p7_2,p7_2_1,p7_2_2,p7_2_3,p7_2_4,p7_3,p7_3_1,p7_3_2,p8,p9estrato,p10,p11,p11_1,p12,p12_1,p12_2,p13,p14,p15,p15_1,p16,p16_1,p17,p17_v2_1,p17_v2_2,p17_v2_3,p17_v3,p17_v3_otro,p17_v4,p17_v5,p17_v6,p17_v7,p17_v7_1,p18,p18_p1,p18_p2,p18_p3,p18_p4,p18_c1,p19comuna,p20,p20_1,p20_1_otro,p21,p22,p23,p23_1,p23_2,p24,p25,p25_1,p25_2,p25_3,p25_4,p26,p27,p27_1,p27_2,p27_3,p27_4,p27_5,p27_6,p27_7,p27_8,p27_9,p27_10,p27_otro,p28p28_1,p28p28_2,p28p28_3,p28p28_4,p28p28_5,p28p28_6,p28p28_7,p28p28_8,p28p28_9,p29,p29_otro,p30,p30_otro,p31,p32,p33,p33_otro,p34,p34_otro,p35,p35_otro,p36,p37,p38p38_1,p38p38_2,p38p38_3,p38p38_4,p38p38_5,p38p38_6,p38p38_7,p38p38_99,p38_99_otro,p39,p39_1,p39_otro,p39_1_2,p39_1_1,p39_1_otro,p39_2,p40,p41,p47latitude,p47longitude,p47altitude,p47accuracy
74,5921.933934,Urbana Oriente,Presencial en hogares,Femenino,Si,63,55 - 64 años,No,Si,Si,Si,Nariño,Charco,,,"Negro(a), mulalto(a), afrodescendiente, afrocolombiano(a)",Si,Básica primaria incompleta,No,Hacer trabajo doméstico en su propio hogar,,,,,,,,,,Con su pareja y otros familiares,Estrato 2,Menos de 100 mil pesos,Si,Usted,Dificultad temporal para moverse,,,No,No,0,,1,1,Transporte público colectivo busetas,,,,,,,,,,,,5,30,45,15,,Comuna 6,Cali,Otros,Tequendama,Cuatro o más,Entre 1 y 3 km,"A una cita médica, tomarse examenes o reclamar medicamentos para usted mismo",,,Muy Satisfecho,La comodidad (confort),,,,,La vulnerabilidad frente accidentes de tránsito,Tiempos de espera largos o inciertos,,,,,,,,,,,,4,2,Nada Importante,Muy importante,3,4,4,3,2,Transporte público (MIO),,Otra razón ¿Cuál?,Por ir de una estación a otra y muy lleno,Uso de aerosoles y productos químicos,Alto,Mio Cable,,Moto en plataforma (Ejemplo: Didi),,Inseguridad,,Nada Importante,Nada Importante,No,No,No,No,Si,No,No,No,,Mientras caminaba,,,Otro,,Conectarse con Dios,No,Mujer,No,3.478966,-76.4857771,968.988,1.017
75,5921.933934,Urbana Oriente,Presencial en hogares,Femenino,Si,77,65 - 80 años,No,Si,Si,Si,Valle,Tuluá,,,Ninguna de las anteriores,No,Básica primaria incompleta,No,Hacer trabajo doméstico en su propio hogar,,,,,,,,,,Con su pareja y otros familiares,Estrato 2,Entre 100 y 300 mil pesos,No,,Dificultad temporal para moverse,,,No,No,1,1,1,1,Taxi,,,,,,,,,,,30,,,,,,Comuna 6,Cali,Comuna 6,,Uno,Menos de 1 km,A realizar compras,,,Muy Satisfecho,La comodidad (confort),,,,,La vulnerabilidad frente accidentes de tránsito,Otro ¿Cuál?,,,,,,,,,,,Ninguna,3,4,2,4,4,3,3,4,2,Taxi,,Es el medio de transporte que utiliza,,Los vehículos que circulan en la ciudad,Alto,Mio Cable,,Transporte público colectivo busetas,,Inseguridad,,2,3,No,No,No,No,No,No,No,No,,,,,,,,Si,Mujer,Si,3.4790745,-76.4851822,985.3999634,15
76,5921.933934,Urbana Oriente,Presencial en hogares,Femenino,Si,40,35 - 44 años,No,Si,Si,Si,Valle,Cali,,,"Negro(a), mulalto(a), afrodescendiente, afrocolombiano(a)",No,Técnico profesional,No,Trabajar,"Profesional independiente (por ejemplo, por prestación de servicios)",Ningún día,,,,,,,,"Con su pareja, sus hijos y otros familiares",Estrato 2,Menos de 100 mil pesos,No,,Ninguna dificultad,,,No,No,1,1,2,1,Moto 2T,,Menos de 125 cc,,Gasolina corriente,,2025,Cali,Acompañante (pasajero o parrilero),Siempre,1,10,,,,,,Comuna 6,Cali,Comuna 6,,No salgo del hogar con frecuencia,Más de 12 km,A realizar algún trámite personal,,,Poco Satisfecho,La comodidad (confort),,,,,La exposición a condiciones climáticas desfavorables (lluvia o calor),Tiempos de espera largos o inciertos,,,,,,,,,,,,Muy importante,Muy importante,Muy importante,Muy importante,Muy importante,Muy importante,Muy importante,Muy importante,Muy importante,Automóvil,,Otra razón ¿Cuál?,No tengo,Los vehículos que circulan en la ciudad,Bajo,Automóvil,,Campero/ Camioneta (SUV),,Costos altos,,Nada Importante,Muy importante,No,No,No,No,No,No,No,No,,,,,,,,No,Mujer,No,3.4793645,-76.4855296,999.213,15
77,3555.843024,Urbana Oriente,Presencial en hogares,Masculino,Si,60,55 - 64 años,No,Si,Si,Si,Magdalena,Cerro San Antonio,,,No sabe/ No responde,No,Básica primaria completa,Si,Es pensionado(a),,,,,,,,,,Con su pareja,Estrato 3,Entre 100 y 300 mil pesos,Si,Una mujer de la familia que vive con usted,"Dificultad para ver, aún utilizando lentes",Dificultad temporal para moverse,,No,No,0,,1,1,Transporte público (MIO),,,,,,,,,,,,10,15,90,10,,Comuna 6,Cali,Otros,Valle del Lili,Dos,Entre 1 y 3 km,"A una cita médica, tomarse examenes o reclamar medicamentos para usted mismo",,,Satisfecho,El costo (sus posibilidades económicas o capacidad adquisitiva),,,,,"La percepción de inseguridad personal (robo o atraco, acoso o violencia de algún tipo)",Exposición a condiciones climáticas desfavorables (lluvia o calor),Tiempos de espera largos o inciertos,,,,,,,,,,,2,Nada Importante,3,3,4,2,Nada Importante,2,3,Automóvil en plataforma (Ejemplo:Uber),,Costos asociados,,Los vehículos que circulan en la ciudad,Alto,Mio Cable,,Bicitaxi sin motor,,Costos altos,,2,Muy importante,Si,No,No,Si,Si,No,No,No,,En los paraderos o estaciones,,,No tomó ninguna acción,,,Si,Hombre,No,3.4864252,-76.4886252,978.5999756,11.512
78,2586.719062,Urbana Corredor,Presencial en hogares,Femenino,Si,63,55 - 64 años,No,Si,Si,Si,Valle,Valle,,,Ninguna de las anteriores,No,Secundaria incompleta,No,Es pensionado(a),,,,,,,,,,Con su pareja,Estrato 4,Entre 100 y 300 mil pesos,No,,Ninguna dificultad,,,No,"Si, auto",1,1,0,,Automóvil,Menos de 1000 cc,,,Gasolina corriente,,No sabe / No responde - NO LEA,Otro municipio,Acompañante (pasajero o parrilero),Algunas veces,2,90,,,,,,Comuna 5,Otro municipio,Otros,Tequendama,Tres,Entre 4 y 7 km,"A una cita médica, tomarse examenes o reclamar medicamentos para usted mismo",,,Totalmente satisfecho,La percepción de seguridad,,,,,Las condiciones de incomodidad,Ser víctima de situaciones de acoso o violencia,,,,,,,,,,,,Muy importante,4,4,4,4,4,2,3,3,Transporte público (MIO),,Es el medio de transporte que utiliza,,Empresas manufactureras,Bajo,Automóvil,,Automóvil,,Costos altos,,Nada Importante,Nada Importante,No,No,No,No,No,No,No,No,,,,,,,,No,Hombre,Si,3.4807607,-76.4922742,988.0999756,100
79,3206.701964,Urbana Corredor,Presencial en hogares,Femenino,Si,50,45 - 54 años,No,Si,Si,Si,Valle,Cali,,,Indígena,No,Secundaria incompleta,No,Hacer trabajo doméstico en su propio hogar,,,,,,,,,,Sola(o) con sus hijas o hijos,Estrato 3,Más de 500 mil pesos,No,,"Dificultad para ver, aún utilizando lentes",,,No,No,0,,1,1,Transporte público (MIO),,,,,,,,,,,,10,25,110,10,,Comuna 5,Cali,Comuna 17,,Uno,Menos de 1 km,Ir a trabajar,,,Nada Satisfecho,El tiempo de viaje,,,,,El tiempo de espera,Tiempos de espera largos o inciertos,Exposición a condiciones climáticas desfavorables (lluvia o calor),,,,,,,,,,,Muy importante,Nada Importante,3,Nada Importante,3,2,2,Muy importante,Muy importante,Transporte público colectivo busetas,,Costos asociados,,Los vehículos que circulan en la ciudad,Alto,Camión liviano,,Campero/ Camioneta (SUV),,Inseguridad,,2,Muy importante,No,No,No,Si,Si,No,No,No,,En los paraderos o estaciones,,,No tomó ninguna acción,,,No,Mujer,Si,3.4672514,-76.4940813,1010.442,100
80,3206.701964,Urbana Corredor,Presencial en hogares,Femenino,Si,63,55 - 64 años,No,Si,Si,Si,Valle,Cartago,,,Ninguna de las anteriores,No,Técnico profesional,Si,Hacer trabajo doméstico en su propio hogar,,,,,,,,,,"Con su pareja, sus hijos y otros familiares",Estrato 3,Entre 300 mil y 500 mil pesos,Si,Usted,Ninguna dificultad,,,No,No,1,1,0,,"Automóvil en plataforma (Ejemplo:Uber, Yango, Didi, InDriver)",,,,,,,,,,,10,,,,,,Comuna 5,Cali,Comuna 17,,Uno,Entre 4 y 7 km,A realizar algún trámite personal,,,Muy Satisfecho,La comodidad (confort),,,,,"La percepción de inseguridad personal (robo o atraco, acoso o violencia de algún tipo)",Tiempos de espera largos o inciertos,,,,,,,,,,,,Muy importante,Muy importante,Muy importante,Muy importante,Muy importante,3,3,Muy importante,Muy importante,Transporte público colectivo busetas,,Razones de salud,,Los vehículos que circulan en la ciudad,Bajo,Mio Cable,,Campero/ Camioneta (SUV),,"Falta de infraestructura (andenes, ciclorutas, etc.)",,Muy importante,Muy importante,No,No,No,No,Si,No,No,No,,En los paraderos o estaciones,,,No tomó ninguna acción,,,Si,Mujer,No,3.4666153,-76.4926357,0,100
81,3206.701964,Urbana Corredor,Presencial en hogares,Femenino,Si,78,65 - 80 años,No,Si,Si,Si,Cauca,Corinto,,,Ninguna de las anteriores,Si,Básica primaria incompleta,No,Hacer trabajo doméstico en su propio hogar,,,,,,,,,,Con sus hijos y otros familiares,Estrato 3,Menos de 100 mil pesos,No,,"Dificultad para ver, aún utilizando lentes",,,No,No,0,,3,1,Taxi,,,,,,,,,,,20,,,,,,Comuna 5,Cali,Comuna 9,,No salgo del hogar con frecuencia,Entre 1 y 3 km,A realizar algún trámite personal,,,Poco Satisfecho,La percepción de seguridad,El tiempo de viaje,,,,El tiempo de viaje,Tiempos de espera largos o inciertos,Tiempos de viaje largos o inciertos,,,,,,,,,,,Muy importante,Muy importante,Muy importante,Muy importante,Muy importante,Muy importante,Nada Importante,Muy importante,Muy importante,Taxi,,Es el medio de transporte que utiliza,,Empresas manufactureras,Alto,Automóvil,,Campero/ Camioneta (SUV),,"Falta de infraestructura (andenes, ciclorutas, etc.)",,Muy importante,Muy importante,No,No,No,No,Si,Si,No,No,,Mientras caminaba,,,"Puso la queja (en la app, en algún buzón, en una línea telefónica o de Whatsapp etc)",,,No,Mujer,No,3.4652293,-76.4927571,1018.11,100
82,3726.943109,Centro Ampliado,Presencial en hogares,Masculino,Si,47,45 - 54 años,No,Si,Si,Si,Valle,Cali,,,Ninguna de las anteriores,No,Secundaria completa,No,Trabajar,"Profesional independiente (por ejemplo, por prestación de servicios)",De lunes a sábado,,,,,,,,Con sus hijos y otros familiares,Estrato 3,Entre 100 y 300 mil pesos,No,,Ninguna dificultad,,,"Sí, auto","Si, auto",1,2,0,,Automóvil,Entre 1500 y 1999 cc,,,Gasolina corriente,,2020,Cali,Conductor,Algunas veces,3,120,,,,,,Comuna 8,Cali,Otros,Universidad Santiago de Cali,Tres,Entre 4 y 7 km,Ir a trabajar,,,Totalmente satisfecho,La comodidad (confort),,,,,La exposición a condiciones climáticas desfavorables (lluvia o calor),Exposición a condiciones climáticas desfavorables (lluvia o calor),,,,,,,,,,,,Muy importante,Muy importante,Muy importante,4,Muy importante,Muy importante,Muy importante,Muy importante,Muy importante,Automóvil,,Es el medio de transporte que utiliza,,Empresas manufactureras,Moderado,Automóvil,,Campero/ Camioneta (SUV),,Costos altos,,Nada Importante,Muy importante,No,No,No,Si,No,No,Si,No,,En los paraderos o estaciones,,,No tomó ninguna acción,,,No,Hombre,No,3.442892,-76.5060141,925.407,12.869
83,3726.943109,Centro Ampliado,Presencial en hogares,Masculino,Si,32,25 - 34 años,No,Si,Si,Si,Valle,Cali,,,"Negro(a), mulalto(a), afrodescendiente, afrocolombiano(a)",Si,Secundaria completa,No,Está desempleado,,,,,,,,,,Con otros familiares diferentes a sus hijos o pareja,Estrato 3,Entre 100 y 300 mil pesos,Si,Una mujer de la familia que vive con usted,Ninguna dificultad,,,"Sí, auto y motocicleta","Si, motocicleta",1,2,1,2,Moto 2T,,125 cc,,Gasolina corriente,,2016,Cali,Conductor,Algunas veces,1,110,,,,,,Comuna 8,Cali,Comuna 22,,Tres,Entre 4 y 7 km,Ir a trabajar,,,Satisfecho,El tiempo de viaje,,,,,La exposición a condiciones climáticas desfavorables (lluvia o calor),Exposición a condiciones climáticas desfavorables (lluvia o calor),,,,,,,,,,,,4,Muy importante,Muy importante,Muy importante,Nada Importante,Nada Importante,Nada Importante,3,3,Moto 2T,,Es el medio de transporte que utiliza,,Empresas manufactureras,Alto,Mio Cable,,Campero/ Camioneta (SUV),,Inseguridad,,Nada Importante,3,No,No,No,No,No,No,No,No,,,,,,,,Si,Hombre,No,3.4437418,-76.5036039,995.868,1.269
84,4625.032155,Urbana Oriente,Presencial en hogares,Masculino,Si,23,18 - 24 años,No,Si,Si,Si,Cauca,Cajibio,,,Ninguna de las anteriores,Si,Secundaria completa,No,Trabajar,"Empleado en empresa, gobierno u organización",De lunes a viernes,,,,,,,,Sola(o),Estrato 2,Entre 300 mil y 500 mil pesos,No,,Ninguna dificultad,,,"Sí, auto y motocicleta",Si de auto y motocicleta,1,2,1,2,Moto 4T,,Entre 150 cc y 250 cc,,Gasolina corriente,,No sabe / No responde - NO LEA,Cali,Conductor,Nunca,,15,,,,,,Comuna 6,Cali,Otros,El Estadio,Uno,Más de 12 km,Ir a trabajar,,,Muy Satisfecho,La distancia que debe recorrer,,,,,Nada me disgusta,Exposición a condiciones climáticas desfavorables (lluvia o calor),,,,,,,,,,,,Nada Importante,Muy importante,Muy importante,Muy importante,Muy importante,Nada Importante,Nada Importante,Muy importante,Muy importante,Moto 4T,,Es el medio de transporte que utiliza,,Empresas manufactureras,Muy alto,Taxi,,Guala o pirata,,Inseguridad,,Nada Importante,Nada Importante,No,No,No,No,No,No,No,No,,,,,,,,Si,Hombre,No,3.4757917,-76.485851,978.8999634,9
85,5921.933934,Urbana Oriente,Presencial en hogares,Femenino,Si,24,18 - 24 años,No,Si,Si,Si,Valle,Cali,,,Ninguna de las anteriores,No,Doctorado,No,Trabajar,"Empleado en empresa, gobierno u organización",De lunes a sábado,,,,,,,,Sola(o),Estrato 2,Entre 100 y 300 mil pesos,No,,Ninguna dificultad,,,"Sí, motocicleta",No,0,,1,2,Moto 4T,,125 cc,,Gasolina corriente,,2024,Otro municipio,Conductor,Algunas veces,1,40,,,,,,Comuna 6,Cali,Comuna 2,,Uno,Más de 12 km,Ir a trabajar,,,Poco Satisfecho,La comodidad (confort),,,,,La exposición a condiciones climáticas desfavorables (lluvia o calor),Exposición a condiciones climáticas desfavorables (lluvia o calor),,,,,,,,,,,,Muy importante,3,2,2,2,Nada Importante,3,3,Nada Importante,Moto 4T,,Otra razón ¿Cuál?,No tiene auto,Los vehículos que circulan en la ciudad,Alto,Automóvil,,Campero/ Camioneta (SUV),,"Falta de infraestructura (andenes, ciclorutas, etc.)",,Nada Importante,Nada Importante,No,Si,Si,No,Si,No,No,No,,Entre el paradero y la casa,,,Avisó a alguna autoridad como la policia,No tomó ninguna acción,,Si,Mujer,No,3.4756499,-76.4860925,978.8999634,34.486
86,4625.032155,Urbana Oriente,Presencial en hogares,Masculino,Si,19,18 - 24 años,No,Si,Si,Si,Valle,Cali,,,"Negro(a), mulalto(a), afrodescendiente, afrocolombiano(a)",No,Universitario,No,Estudiar,,,,,,,De lunes a viernes,,,"Con otras personas que no son de su familia (amigos, compañeros)",Estrato 2,Entre 100 y 300 mil pesos,No,,"Dificultad permanente para moverse (por ejemplo utiliza silla de ruedas, muleta, caminadores)",,,"Sí, auto y motocicleta",Si de auto y motocicleta,1,2,1,2,Moto 4T,,Entre 150 cc y 250 cc,,Gasolina corriente,,2024,Cali,Conductor,Siempre,1,40,,,,,,Comuna 6,Cali,Comuna 11,,Dos,Más de 12 km,Ir a estudiar,,,Totalmente satisfecho,El costo (sus posibilidades económicas o capacidad adquisitiva),,,,,El tiempo de espera,Exposición a condiciones climáticas desfavorables (lluvia o calor),,,,,,,,,,,,3,3,Muy importante,Muy importante,3,3,Nada Importante,Muy importante,Muy importante,Moto 4T,,Es el medio de transporte que utiliza,,Empresas manufactureras,Alto,Automóvil,,Campero/ Camioneta (SUV),,Inseguridad,,3,4,No,No,No,No,No,No,No,No,,,,,,,,No,Hombre,No,3.4764752,-76.4840259,979.3999634,8.15
87,4259.19659,Urbana Oriente,Presencial en hogares,Femenino,Si,58,55 - 64 años,No,Si,Si,Si,Valle,Caicedonia,,,Ninguna de las anteriores,Si,Básica primaria incompleta,No,Trabajar,Trabajador independiente o por cuenta propia,Ningún día,,,,,,,,Con su pareja y sus hijos o hijas,Estrato 3,Menos de 100 mil pesos,No,,Ninguna dificultad,,,No,No,0,,1,1,Moto 4T,,No sabe / No responde,,Gasolina extra,,No sabe / No responde - NO LEA,Cali,Acompañante (pasajero o parrilero),Nunca,,30,,,,,,Comuna 6,Cali,Comuna 7,,No salgo del hogar con frecuencia,Más de 12 km,"A una cita médica, tomarse examenes o reclamar medicamentos para usted mismo",,,Muy Satisfecho,El costo (sus posibilidades económicas o capacidad adquisitiva),,,,,Nada me disgusta,Multitud de personas,,,,,,,,,,,,Muy importante,Muy importante,Muy importante,Muy importante,Muy importante,Muy importante,Muy importante,Muy importante,Muy importante,Moto 4T,,Es el medio de transporte que utiliza,,Los vehículos que circulan en la ciudad,Alto,Campero/ Camioneta (SUV),,Automóvil,,Inseguridad,,4,4,No,No,No,No,No,No,No,No,,,,,,,,No,Mujer,No,3.4885014,-76.4892896,978.5,14.002
88,2159.55,Urbana Corredor,Presencial en hogares,Masculino,Si,21,18 - 24 años,No,Si,Si,Si,Valle,Cali,,,Ninguna de las anteriores,No,Secundaria incompleta,No,Está desempleado,,,,,,,,,,"Con otras personas que no son de su familia (amigos, compañeros)",Estrato 4,Menos de 100 mil pesos,No,,Ninguna dificultad,,,"Sí, motocicleta",No,1,1,1,2,Moto 4T,,Menos de 125 cc,,Gasolina corriente,,2013,Cali,Conductor,Siempre,1,15,,,,,,Comuna 5,Cali,Comuna 5,,Uno,Entre 8 y 12 km,A realizar compras,,,Muy Satisfecho,El costo (sus posibilidades económicas o capacidad adquisitiva),,,,,El costo de compra,Exposición a condiciones climáticas desfavorables (lluvia o calor),,,,,,,,,,,,3,3,3,3,4,4,4,4,3,Moto 4T,,Es el medio de transporte que utiliza,,Empresas manufactureras,Alto,Automóvil,,Automóvil,,"Falta de infraestructura (andenes, ciclorutas, etc.)",,Nada Importante,Nada Importante,No,No,No,No,No,No,No,No,,,,,,,,No,Hombre,No,3.481422,-76.4899302,978.7999878,85.4
89,2586.719062,Urbana Corredor,Presencial en hogares,Femenino,Si,20,18 - 24 años,No,Si,Si,Si,Valle,Cali,,,Indígena,No,Secundaria completa,No,Trabajar,"Profesional independiente (por ejemplo, por prestación de servicios)",De lunes a viernes,,,,,,,,Con sus hijos y otros familiares,Estrato 4,Entre 100 y 300 mil pesos,No,,Ninguna dificultad,,,"Sí, auto y motocicleta","Si, auto",0,,1,1,Transporte público (MIO),,,,,,,,,,,,15,15,60,20,,Comuna 5,Cali,Comuna 4,,Tres,Entre 1 y 3 km,Ir a trabajar,,,Muy Satisfecho,El costo (sus posibilidades económicas o capacidad adquisitiva),,,,,"La percepción de inseguridad personal (robo o atraco, acoso o violencia de algún tipo)",Exposición a condiciones climáticas desfavorables (lluvia o calor),,,,,,,,,,,,4,3,2,3,2,3,4,2,3,Automóvil,,Otra razón ¿Cuál?,Economía,Empresas manufactureras,Muy alto,Mio Cable,,Moto taxi (moto ratón),,Inseguridad,,4,3,No,Si,No,No,Si,No,No,No,,Entre el paradero y la casa,,,Avisó a alguna autoridad como la policia,,,No,Mujer,No,3.467898,-76.4930864,983,14.245
90,2159.55,Urbana Corredor,Presencial en hogares,Masculino,Si,21,18 - 24 años,No,Si,Si,Si,Valle,Jamundí,,,Indígena,Si,Secundaria incompleta,No,Trabajar,Trabajador independiente o por cuenta propia,De lunes a sábado,De lunes a viernes,,,,,,,"Con su pareja, sus hijos y otros familiares",Estrato 4,Menos de 100 mil pesos,Si,Usted,Ninguna dificultad,,,"Sí, motocicleta",No,0,,1,1,Transporte público (MIO),,,,,,,,,,,,20,30,60,20,,Comuna 5,Cali,Comuna 2,,Uno,Entre 1 y 3 km,Ir a trabajar,,,Poco Satisfecho,La distancia que debe recorrer,,,,,Las condiciones de incomodidad,Multitud de personas,,,,,,,,,,,,Muy importante,Muy importante,3,Muy importante,Muy importante,Muy importante,Nada Importante,Muy importante,Muy importante,Transporte público (MIO),,Es el medio de transporte que utiliza,,Vertederos (basureros) y rellenos sanitarios,Muy alto,Automóvil,,Campero/ Camioneta (SUV),,Inseguridad,,Muy importante,Muy importante,No,Si,Si,Si,No,Si,No,No,,Entre el paradero y la casa,,,No tomó ninguna acción,,,Si,Hombre,No,3.4678879,-76.493109,983,12.481
91,5921.933934,Urbana Oriente,Presencial en hogares,Femenino,Si,26,25 - 34 años,No,Si,Si,Si,Valle,Cali,,,Indígena,Si,Tecnológico,No,Trabajar y estudiar,Trabajador independiente o por cuenta propia,De lunes a viernes,,,,,,,,Con su pareja y sus hijos o hijas,Estrato 2,Más de 500 mil pesos,No,,Ninguna dificultad,,,No,Si de auto y motocicleta,1,1,2,1,Automóvil,No sabe / No responde,,,Gasolina corriente,,No sabe / No responde - NO LEA,Cali,Acompañante (pasajero o parrilero),Nunca,,30,,,,,,Comuna 6,Cali,Comuna 15,,Dos,Más de 12 km,Ir a trabajar,,,Muy Satisfecho,El costo (sus posibilidades económicas o capacidad adquisitiva),La comodidad (confort),,,,No sabe/ No responde,Exposición a condiciones climáticas desfavorables (lluvia o calor),Tiempos de espera largos o inciertos,,,,,,,,,,,Muy importante,Muy importante,Muy importante,Muy importante,Muy importante,Muy importante,Muy importante,Muy importante,Muy importante,Moto 4T,,Costos asociados,,Construcciones y obras civiles o demoliciones,Muy alto,Mio Cable,,Campero/ Camioneta (SUV),,Inseguridad,,2,3,No,No,No,No,No,No,No,No,,,,,,,,No,Mujer,No,3.4758879,-76.486232,983.73,1.647
92,4625.032155,Urbana Oriente,Presencial en hogares,Masculino,Si,45,45 - 54 años,No,Si,Si,Si,Valle,Cali,,,Ninguna de las anteriores,No,Tecnológico,Si,Trabajar,"Empleado en empresa, gobierno u organización",De lunes a domingo,,,,,,,,Sola(o),Estrato 2,No sabe/no responde,No,,Ninguna dificultad,,,"Sí, auto y motocicleta",Si de auto y motocicleta,0,,0,,Moto 4T,,150 cc,,Gasolina corriente,,2018,Cali,Conductor,Algunas veces,2,25,,,,,,Comuna 6,Cali,Comuna 6,,Cuatro o más,Entre 4 y 7 km,"A una cita médica, tomarse examenes o reclamar medicamentos para usted mismo",,,Muy Satisfecho,La autonomía o control sobre el viaje,,,,,La exposición a condiciones climáticas desfavorables (lluvia o calor),Exposición a condiciones climáticas desfavorables (lluvia o calor),,,,,,,,,,,,Muy importante,Muy importante,Muy importante,Muy importante,Nada Importante,Nada Importante,Muy importante,Muy importante,Nada Importante,Moto 4T,,Es el medio de transporte que utiliza,,Incineración de residuos,Moderado,Camión liviano,,Campero/ Camioneta (SUV),,Inseguridad,,Muy importante,Nada Importante,No,No,No,No,No,No,No,No,,,,,,,,Si,Hombre,No,3.4758479,-76.4860283,975.493,3.214
93,4625.032155,Urbana Oriente,Presencial en hogares,Masculino,Si,59,55 - 64 años,No,Si,Si,Si,Valle,Palmira,,,Ninguna de las anteriores,No,Tecnológico,No,Trabajar,Trabajador independiente o por cuenta propia,De lunes a domingo,,,,,,,,Con su pareja y sus hijos o hijas,Estrato 2,Menos de 100 mil pesos,No,,Ninguna dificultad,,,"Sí, auto y motocicleta","Si, auto",1,2,0,,Automóvil,Menos de 1000 cc,,,Gasolina corriente,,Modelos anteriores a 2005,Cali,Conductor,Nunca,,60,,,,,,Comuna 6,Cali,Comuna 6,,Dos,Entre 8 y 12 km,Ir a trabajar,,,Muy Satisfecho,El costo (sus posibilidades económicas o capacidad adquisitiva),,,,,La exposición a condiciones climáticas desfavorables (lluvia o calor),Exposición a condiciones climáticas desfavorables (lluvia o calor),,,,,,,,,,,,2,4,Nada Importante,Nada Importante,4,2,2,2,Nada Importante,Automóvil,,Es el medio de transporte que utiliza,,Los vehículos que circulan en la ciudad,Bajo,Mio Cable,,Moto en plataforma (Ejemplo: Didi),,Costos altos,,Nada Importante,Muy importante,No,No,No,No,No,No,No,No,,,,,,,,No,Hombre,No,3.4765312,-76.4838365,975.493,1.337
